[20:24:35] [INFO] received Windows console close event; shutting log-core down
[20:29:30] [INFO] received Windows console close event; shutting log-core down
[14:44:08] [INFO] received Windows console close event; shutting log-core down
[18:01:50] [INFO] received Windows console close event; shutting log-core down
[18:07:03] [INFO] received Windows console close event; shutting log-core down
[18:11:51] [INFO] received Windows console close event; shutting log-core down
[18:15:51] [INFO] received Windows console close event; shutting log-core down
[18:21:05] [INFO] received Windows console close event; shutting log-core down
[18:37:03] [INFO] received Windows console close event; shutting log-core down
[18:40:04] [INFO] received Windows console close event; shutting log-core down
[18:49:23] [INFO] received Windows console close event; shutting log-core down
[19:32:04] [INFO] received Windows console close event; shutting log-core down
[19:34:02] [INFO] received Windows console close event; shutting log-core down
[21:53:10] [INFO] received Windows console close event; shutting log-core down
[20:47:15] [INFO] received Windows console close event; shutting log-core down
[02:45:19] [INFO] received Windows console close event; shutting log-core down
[03:11:59] [INFO] received Windows console close event; shutting log-core down
[03:27:00] [INFO] received Windows console close event; shutting log-core down
[03:28:42] [INFO] received Windows console close event; shutting log-core down
[04:00:51] [INFO] received Windows console close event; shutting log-core down
[04:27:28] [INFO] received Windows console close event; shutting log-core down
[05:09:16] [INFO] received Windows console close event; shutting log-core down
[05:18:17] [INFO] received Windows console close event; shutting log-core down
[05:18:29] [INFO] received Windows console close event; shutting log-core down
[06:07:34] [INFO] received Windows console close event; shutting log-core down
[09:06:01] [INFO] received Windows console close event; shutting log-core down
[10:55:09] [INFO] received Windows console close event; shutting log-core down
[11:20:23] [INFO] received Windows console close event; shutting log-core down
[13:44:01] [INFO] received Windows console close event; shutting log-core down
[14:41:52] [INFO] received Windows console close event; shutting log-core down
[14:41:53] [INFO] received Windows console close event; shutting log-core down
[14:51:13] [INFO] received Windows console close event; shutting log-core down
[18:30:01] [INFO] received Windows console close event; shutting log-core down
[12:45:37] [INFO] received Windows console close event; shutting log-core down
[13:01:29] [INFO] received Windows console close event; shutting log-core down
[06:40:36] [INFO] received Windows console close event; shutting log-core down
[16:14:19] [INFO] received Windows console close event; shutting log-core down
[14:06:02] [INFO] received Windows console close event; shutting log-core down
[14:44:41] [INFO] received Windows console close event; shutting log-core down
[14:46:21] [INFO] received Windows console close event; shutting log-core down
[15:48:36] [INFO] received Windows console close event; shutting log-core down
[18:19:33] [INFO] received Windows console close event; shutting log-core down
[08:55:30] [INFO] received Windows console close event; shutting log-core down
[11:19:36] [INFO] received Windows console close event; shutting log-core down
[20:38:52] [INFO] received Windows console close event; shutting log-core down
[21:03:15] [INFO] received Windows console close event; shutting log-core down
[21:09:55] [INFO] received Windows console close event; shutting log-core down
[21:14:36] [INFO] received Windows console close event; shutting log-core down
[23:52:11] [INFO] received Windows console close event; shutting log-core down
[23:52:43] [INFO] received Windows console close event; shutting log-core down
[23:54:35] [INFO] received Windows console close event; shutting log-core down
[00:01:19] [INFO] received Windows console close event; shutting log-core down
[00:09:33] [INFO] received Windows console close event; shutting log-core down
[00:10:59] [INFO] received Windows console close event; shutting log-core down
[00:11:51] [INFO] received Windows console close event; shutting log-core down
[00:12:06] [INFO] received Windows console close event; shutting log-core down
[00:12:17] [INFO] received Windows console close event; shutting log-core down
[00:14:06] [INFO] received Windows console close event; shutting log-core down
[00:58:23] [INFO] received Windows console close event; shutting log-core down
[00:59:52] [INFO] received Windows console close event; shutting log-core down
[01:17:52] [INFO] received Windows console close event; shutting log-core down
[01:40:42] [INFO] received Windows console close event; shutting log-core down
[02:33:13] [INFO] received Windows console close event; shutting log-core down
[02:47:00] [INFO] received Windows console close event; shutting log-core down
[02:48:26] [INFO] received Windows console close event; shutting log-core down
[02:48:37] [INFO] received Windows console close event; shutting log-core down
[02:55:18] [INFO] received Windows console close event; shutting log-core down
[02:56:12] [INFO] received Windows console close event; shutting log-core down
[03:02:02] [INFO] received Windows console close event; shutting log-core down
[03:02:03] [INFO] received Windows console close event; shutting log-core down
[03:05:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03:08:23] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:13:32] [INFO] received Windows console close event; shutting log-core down
[18:12:52] [INFO] received Windows console close event; shutting log-core down
[18:35:54] [INFO] received Windows console close event; shutting log-core down
[18:36:20] [INFO] received Windows console close event; shutting log-core down
[18:37:28] [INFO] received Windows console close event; shutting log-core down
[18:38:36] [INFO] received Windows console close event; shutting log-core down
[18:51:13] [INFO] received Windows console close event; shutting log-core down
[19:56:05] [INFO] received Windows console close event; shutting log-core down
[09:59:20] [INFO] received Windows console close event; shutting log-core down
[20:14:19] [INFO] received Windows console close event; shutting log-core down
[20:16:48] [INFO] received Windows console close event; shutting log-core down
[20:17:44] [INFO] received Windows console close event; shutting log-core down
[20:17:58] [INFO] received Windows console close event; shutting log-core down
[20:18:58] [INFO] received Windows console close event; shutting log-core down
[20:22:08] [INFO] received Windows console close event; shutting log-core down
